"SR. NO 
","SYMBOL 
","COMPANY NAME 
","ISIN 
","ASM STAGE 
"
"Long Term",,,,
108,"SHAH","Shah Metacorp Limited","INE482J01021","LTASM - I (13)"
109,"SHAILY","Shaily Engineering Plastics Limited","INE151G01028","LTASM - I (13)"
110,"SHAKTIPUMP","Shakti Pumps (India) Limited","INE908D01010","LTASM - IV (16)"
111,"SHANTHALA","Shanthala FMCG Products Limited","INE0Q9Q01017","LTASM - I (13)"
112,"SHIVAMILLS","Shiva Mills Limited","INE644Y01017","LTASM - I (13)"
113,"SIKKO","Sikko Industries Limited","INE112X01017","LTASM - I (13)"
114,"SINCLAIR","Sinclairs Hotels Limited","INE985A01022","LTASM - I (13)"
115,"SINDHUTRAD","Sindhu Trade Links Limited","INE325D01025","LTASM - I (13)"
116,"SKYGOLD","Sky Gold Limited","INE01IU01018","LTASM - IV (16)"
117,"SMSPHARMA","SMS Pharmaceuticals Limited","INE812G01025","LTASM - I (13)"
118,"SOBHA","Sobha Limited","INE671H01015","LTASM - I (13)"
119,"SOFTTECH","Softtech Engineers Limited","INE728Z01015","LTASM - I (13)"
120,"SOLEX","Solex Energy Limited","INE880Y01017","LTASM - I (13)"
121,"SPMLINFRA","SPML Infra Limited","INE937A01023","LTASM - I (13)"
122,"SUNDARMHLD","Sundaram Finance Holdings Limited","INE202Z01029","LTASM - I (13)"
123,"SUULD","Suumaya Industries Limited","INE591Q01016","LTASM - I (13)"
124,"SUZLON","Suzlon Energy Limited","INE040H01021","LTASM - IV (16)"
125,"SWANENERGY","Swan Energy Limited","INE665A01038","LTASM - I (13)"
126,"SWSOLAR","Sterling and Wilson Renewable Energy Limited","INE00M201021","LTASM - I (13)"
127,"TALBROAUTO","Talbros Automotive Components Limited","INE187D01029","LTASM - I (13)"
128,"TARC","Anant Raj Global Limited","INE0EK901012","LTASM - I (13)"
129,"TARC","TARC Limited","INE0EK901012","LTASM - I (13)"
130,"TATAINVEST","Tata Investment Corporation Limited","INE672A01018","LTASM - III (15)"
131,"TATAMTRDVR","Tata Motors Limited","IN9155A01020","LTASM - I (13)"
132,"TECHLABS","Trident Techlabs Limited","INE0QD201012","LTASM - II (14)"
133,"TECHNOE","Techno Electric & Engineering Company Limited","INE285K01026","LTASM - IV (16)"
134,"TEXRAIL","Texmaco Rail & Engineering Limited","INE621L01012","LTASM - I (13)"
135,"THOMASCOOK","Thomas Cook  (India)  Limited","INE332A01027","LTASM - I (13)"
136,"TIMETECHNO","Time Technoplast Limited","INE508G01029","LTASM - I (13)"
137,"TORNTPOWER","Torrent Power Limited","INE813H01021","LTASM - I (13)"
138,"TPLPLASTEH","TPL Plastech Limited","INE413G01022","LTASM - I (13)"
139,"TRIL","Transformers And Rectifiers (India) Limited","INE763I01026","LTASM - IV (16)"
140,"TVSHLTD","TVS Holdings Limited","INE105A01035","LTASM - I (13)"
141,"UMANGDAIRY","Umang Dairies Limited","INE864B01027","LTASM - I (13)"
142,"URJA","Urja Global Limited","INE550C01020","LTASM - I (13)"
143,"V2RETAIL","V2 Retail Limited","INE945H01013","LTASM - IV (16)"
144,"VARDMNPOLY","Vardhman Polytex Limited","INE835A01029","LTASM - I (13)"
145,"VERTOZ","Vertoz Advertising Limited","INE188Y01015","LTASM - IV (16)"
146,"WALCHANNAG","Walchandnagar Industries Limited","INE711A01022","LTASM - II (14)"
147,"WANBURY","Wanbury Limited","INE107F01022","LTASM - I (13)"
148,"WEALTH","Wealth First Portfolio Managers Limited","INE658T01017","LTASM - I (13)"
149,"WEBELSOLAR","Websol Energy System Limited","INE855C01015","LTASM - IV (16)"
150,"WELINV","Welspun Investments and Commercials Limited","INE389K01018","LTASM - I (13)"
151,"WOCKPHARMA","Wockhardt Limited","INE049B01025","LTASM - III (15)"
152,"YUKEN","Yuken India Limited","INE384C01016","LTASM - I (13)"
"Short Term",,,,
1,"AATMAJ","Aatmaj Healthcare Limited","INE0OB201016","STASM - I (11)"
2,"ABCOTS","A B Cotspin India Limited","INE08PH01015","STASM - I (11)"
3,"ADANIPOWER","Adani Power Limited","INE814H01011","STASM - I (11)"
4,"ALLSEC","Allsec Technologies Limited","INE835G01018","STASM - I (11)"
5,"ALPEXSOLAR","Alpex Solar Limited","INE0R4701017","STASM - I (11)"
6,"AMEYA","Ameya Precision Engineers Limited","INE0KT901015","STASM - I (11)"
7,"ASHIMASYN","Ashima Limited","INE440A01010","STASM - I (11)"
8,"ASHOKAMET","Ashoka Metcast Limited","INE760Y01011","STASM - I (11)"
9,"ATMASTCO","Atmastco Limited","INE05DH01017","STASM - II (12)"
10,"BAHETI","Baheti Recycling Industries Limited","INE029Q01017","STASM - I (11)"
11,"BALAXI","BALAXI PHARMACEUTICALS LIMITED","INE618N01022","STASM - I (11)"
12,"BALAXI","Balaxi Ventures Limited","INE618N01022","STASM - I (11)"
13,"BIRDYS","Grill Splendour Services Limited","INE0PC901019","STASM - I (11)"
14,"BLUEPEBBLE","Blue Pebble Limited","INE0SAK01011","STASM - I (11)"
15,"BMETRICS","Bombay Metrics Supply Chain Limited","INE0I3Y01014","STASM - I (11)"
16,"BTML","Bodhi Tree Multimedia Limited","INE0EEJ01023","STASM - I (11)"
17,"CGRAPHICS","Creative Graphics Solutions India Limited","INE0R7401011","STASM - II (12)"
18,"CLOUD","Varanium Cloud Limited","INE0JOO01021","STASM - I (11)"
19,"EMKAYTOOLS","Emkay Taps and Cutting Tools Limited","INE332S01011","STASM - I (11)"
20,"ENSER","Enser Communications Limited","INE0R9I01013","STASM - I (11)"
21,"FROG","Frog Cellsat Limited","INE385O01018","STASM - I (11)"
22,"GRPLTD","GRP Limited","INE137I01015","STASM - I (11)"
23,"HYBRIDFIN","Hybrid Financial Services Limited","INE965B01022","STASM - I (11)"
24,"ICEMAKE","Ice Make Refrigeration Limited","INE520Y01019","STASM - I (11)"
25,"IIFLSEC","IIFL Securities Limited","INE489L01022","STASM - I (11)"
26,"KRISHNADEF","Krishna Defence and Allied Industries Limited","INE0J5601015","STASM - I (11)"
27,"OWAIS","Owais Metal And Mineral Processing Limited","INE0R8M01017","STASM - II (12)"
28,"PASHUPATI","Pashupati Cotspin Limited","INE124Y01010","STASM - I (11)"
29,"PRAMARA","Pramara Promotions Limited","INE0O7A01017","STASM - I (11)"
30,"REFRACTORY","Refractory Shapes Limited","INE0TNX01015","STASM - I (11)"
31,"SAHANA","Sahana System Limited","INE0LEX01011","STASM - I (11)"
32,"SHREEOSFM","Shree OSFM E-Mobility Limited","INE02S501018","STASM - I (11)"
33,"SHUBHLAXMI","Shubhlaxmi Jewel Art Limited","INE01Z401013","STASM - I (11)"
34,"SIDDHIKA","Siddhika Coatings Limited","INE0A1E01018","STASM - I (11)"
35,"SMSLIFE","SMS Lifesciences India Limited","INE320X01016","STASM - I (11)"
36,"TGL","Teerth Gopicon Limited","INE0K6601012","STASM - I (11)"
37,"TRUST","Trust Fintech Limited","INE0SWN01019","STASM - I (11)"
38,"VERITAAS","Veritaas Advertising Limited","INE0SRI01019","STASM - I (11)"
39,"VIVIANA","Viviana Power Tech Limited","INE0MEG01014","STASM - II (12)"
40,"VMARCIND","V Marc India Limited","INE0GXK01018","STASM - I (11)"
41,"ZFCVINDIA","ZF Commercial Vehicle Control Systems India Limited","INE342J01019","STASM - I (11)"hseheth
