"SR. NO 
","SYMBOL 
","COMPANY NAME 
","ISIN 
","ESM STAGE 
"
145,"SPYL","Shekhawati Poly-Yarn Limited","INE268L01020","ESM - II (35)"
146,"SRPL","Shree Ram Proteins Limited","INE008Z01020","ESM - I (34)"
147,"STARTECK","Starteck Finance Limited","INE992I01013","ESM - II (35)"
148,"SUMIT","Sumit Woods Limited","INE748Z01013","ESM - I (34)"
149,"SUPERSPIN","Super Spinning Mills Limited","INE662A01027","ESM - I (34)"
150,"SUPREMEENG","Supreme Engineering Limited","INE319Z01021","ESM I & GSM 0 (36)"
151,"SUPREMEINF","Supreme Infrastructure India Limited","INE550H01011","ESM - I (34)"
152,"SURANAT&P","Surana Telecom And Power Limited","INE130B01031","ESM - I (34)"
153,"TARAPUR","Tarapur Transformers Limited","INE747K01017","ESM II & GSM 0 (37)"
154,"TARMAT","Tarmat Limited","INE924H01018","ESM - I (34)"
155,"TECHIN","Techindia Nirman Limited","INE778A01021","ESM - II (35)"
156,"TECILCHEM","Tecil Chemicals And Hydro Power Limited","INE014B01011","ESM I & GSM 0 (36)"
157,"TERASOFT","Tera Software Limited","INE482B01010","ESM - I (34)"
158,"TFL","Transwarranty Finance Limited","INE804H01012","ESM - I (34)"
159,"THOMASCOTT","Thomas Scott (India) Limited","INE480M01011","ESM - II (35)"
160,"TIJARIA","Tijaria Polypipes Limited","INE440L01017","ESM II & GSM 0 (37)"
161,"TIL","Til Limited","INE806C01018","ESM - I (34)"
162,"TIMESGTY","Times Guaranty Limited","INE289C01025","ESM - I (34)"
163,"TNTELE","Tamilnadu Telecommunication Limited","INE141D01018","ESM - II (35)"
164,"TPHQ","Teamo Productions Hq Limited","INE065J01024","ESM - II (35)"
165,"TREEHOUSE","Tree House Education & Accessories Limited","INE040M01013","ESM - I (34)"
166,"TREJHARA","Trejhara Solutions Limited","INE00CA01015","ESM - I (34)"
167,"TRF","Trf Limited","INE391D01019","ESM - II (35)"
168,"TVVISION","Tv Vision Limited","INE871L01013","ESM - I (34)"
169,"UMAEXPORTS","Uma Exports Limited","INE0GIU01018","ESM - II (35)"
170,"UNIINFO","Uniinfo Telecom Services Limited","INE481Z01011","ESM - I (34)"
171,"UNIVASTU","Univastu India Limited","INE562X01013","ESM - I (34)"
